state,date,sex,age,ethnicity,population
Pahang,1/1/2024,both,overall,indian,55.9
Pahang,1/1/2024,both,overall,other_citizen,9.6
Pahang,1/1/2024,both,overall,other_noncitizen,102.2
Perak,1/1/2013,both,overall,overall,2447.2
Perak,1/1/2013,both,overall,bumi_malay,1282.6
Perak,1/1/2013,both,overall,bumi_other,70.2
Perak,1/1/2013,both,overall,chinese,705
Perak,1/1/2013,both,overall,indian,287.5
Perak,1/1/2013,both,overall,other_citizen,9.1
Perak,1/1/2013,both,overall,other_noncitizen,93.2
Perak,1/1/2014,both,overall,overall,2458.8
Perak,1/1/2014,both,overall,bumi_malay,1295.9
Perak,1/1/2014,both,overall,bumi_other,73
Perak,1/1/2014,both,overall,chinese,702.9
Perak,1/1/2014,both,overall,indian,285
Perak,1/1/2014,both,overall,other_citizen,9.2
Perak,1/1/2014,both,overall,other_noncitizen,92.8
Perak,1/1/2015,both,overall,overall,2466.9
